"Tray","Range","Plot","Rep","Entry","Spike_image_number","Anther_image_number","Awn_or_awnless","Reps_matching","Variety","Days_to_heading","Date_of_anther_sampling","Number_of_heads_for_yield_comps","Number_of_heads_for_anthers","Number_of_heads_for_spikelets","Weight_g","Number_of_seeds","Spikelets_per_image","Number_of_anthers","Area_of_anthers_per_spike","Number_of_anthers_per_spike","Area_per_anther","Area_per_spike","Thousand_kernel_weight","Kernels_per_spike","Spikelets_per_spike"
1,12,45,1,"HG18287","IMG-0060.JPG","DSC-0037.JPG",0,1,"NC05-21642",116,119,10,4,6,11.1,373,103,133,15.04,33.25,0.452330827067669,625.0121667,29.7587131367292,37.3,17.1666666666667
1,13,49,1,"HG18208","IMG-0061.JPG","DSC-0532.JPG",1,1,"LA01110D-251",116,121,10,4,6,12.1,400,107,29,3.59,7.25,0.495172413793103,1606.863,30.25,40,17.8333333333333
1,9,34,1,"HG18036","IMG-0062.JPG","DSC-0129.JPG",1,1,"AR06012-6-3",116,120,10,4,6,13.3,312,102,116,13.72,29,0.473103448275862,936.367,42.6282051282051,31.2,17
1,11,44,1,"HG18409","IMG-0063.JPG",NA,1,1,"TX13D5217",122,NA,11,NA,6,14.6,449,121,NA,NA,NA,NA,815.227,32.5167037861915,40.8181818181818,20.1666666666667
1,11,42,1,"HG18457","IMG-0064.JPG","DSC-0133.JPG",1,1,"VA12W-102",117,120,10,4,6,8.7,305,121,64,8.09,16,0.505625,692.8501667,28.5245901639344,30.5,20.1666666666667
1,12,46,1,"HG18025","IMG-0065.JPG",NA,1,1,"AR04119-3",114,NA,10,NA,6,12.9,381,130,NA,NA,NA,NA,1129.769,33.8582677165354,38.1,21.6666666666667
1,11,43,1,"HG18451","IMG-0074.JPG","DSC-0833.JPG",1,1,"VA11W-106",118,123,10,4,6,15.2,419,111,108,10.2,27,0.377777777777778,1056.480667,36.2768496420048,41.9,18.5
1,10,38,1,"HG18024","IMG-0075.JPG","DSC-0137.JPG",1,1,"AR04084-1-3",117,120,10,4,6,12.9,335,113,118,13.32,29.5,0.451525423728814,1019.146333,38.5074626865672,33.5,18.8333333333333
1,12,48,1,"HG18163","IMG-0076.JPG","DSC-0763.JPG",1,1,"GA061082-13E24",118,123,10,4,6,13.4,414,100,51,7.26,12.75,0.569411764705882,980.3218333,32.3671497584541,41.4,16.6666666666667
1,8,31,1,"HG18066","IMG-0077.JPG",NA,1,1,"AR99114-2-1",117,NA,10,NA,6,11.1,298,127,NA,NA,NA,NA,1154.322333,37.248322147651,29.8,21.1666666666667
1,9,35,1,"HG18008","IMG-0078.JPG","DSC-0050.JPG",1,1,"AR00196-10-1",116,119,10,4,6,16.8,464,111,86,10.6,21.5,0.493023255813953,858.5026667,36.2068965517241,46.4,18.5
1,10,39,1,"HG18152","IMG-0079.JPG","DSC-0545.JPG",0,0,"GA04434-13E52",118,121,10,4,6,17.3,524,122,80,8.96,20,0.448,726.9558333,33.0152671755725,52.4,20.3333333333333
1,13,52,1,"HG18241","IMG-0080.JPG","DSC-0842.JPG",1,1,"LA05130D-P5",121,123,10,4,6,10.1,273,113,56,7.27,14,0.519285714285714,997.4998333,36.996336996337,27.3,18.8333333333333
1,13,50,1,"HG18016","IMG-0081.JPG","DSC-0364.JPG",1,1,"AR04002-3",116,121,10,4,6,11.1,377,93,23,2.71,5.75,0.471304347826087,794.714,29.4429708222812,37.7,15.5
1,11,41,1,"HG18546","IMG-0082.JPG",NA,1,1,"GA09436-16LE12",118,NA,10,NA,6,15.6,432,129,NA,NA,NA,NA,1227.664833,36.1111111111111,43.2,21.5
1,13,51,1,"HG18436","IMG-0083.JPG","DSC-0558.JPG",1,0,"VA08W-630",117,121,10,4,6,13.2,391,116,85,10.43,21.25,0.490823529411765,834.1066667,33.7595907928389,39.1,19.3333333333333
1,8,30,1,"HG18306","IMG-0084.JPG","DSC-0131.JPG",0,1,"NC07-24445",119,120,9,4,6,10.7,305,102,130,15.14,32.5,0.465846153846154,661.1506667,35.0819672131148,33.8888888888889,17
1,12,47,1,"HG18368","IMG-0085.JPG","DSC-0051.JPG",0,0,"SCAR99080E1",117,119,10,4,6,12.4,376,113,109,10.3,27.25,0.377981651376147,664.9171667,32.9787234042553,37.6,18.8333333333333
1,7,27,1,"HG18448","IMG-0087.JPG","DSC-0536.JPG",1,1,"VA10W-112",116,121,10,4,6,13.3,369,112,75,6.95,18.75,0.370666666666667,1080.1245,36.0433604336043,36.9,18.6666666666667
1,8,29,1,"HG18419","IMG-0088.JPG",NA,1,0,"TX14D8237",118,NA,10,NA,6,16.9,460,119,NA,NA,NA,NA,1545.557167,36.7391304347826,46,19.8333333333333
1,10,37,1,"HG18365","IMG-0089.JPG","DSC-0036.JPG",0,1,"NC9485-14",116,119,10,4,6,9.6,301,99,85,9.07,21.25,0.426823529411765,773.7516667,31.8936877076412,30.1,16.5
1,9,36,1,"HG18095","IMG-0090.JPG",NA,1,1,"FL04363E-P23",119,NA,10,NA,6,16.7,541,111,NA,NA,NA,NA,1802.602167,30.8687615526802,54.1,18.5
1,10,40,1,"HG18404","IMG-0091.JPG","DSC-0855.JPG",1,1,"TX13D5137",120,123,10,4,6,8.4,264,114,42,6.82,10.5,0.64952380952381,927.8578333,31.8181818181818,26.4,19
1,15,60,1,"HG18194","IMG-0099.JPG",NA,1,1,"GAJT020-14E47",116,NA,10,NA,6,11.4,352,114,NA,NA,NA,NA,809.53,32.3863636363636,35.2,19
1,15,59,1,"HG18153","IMG-0100.JPG",NA,1,1,"GA04500-11LE11",121,NA,10,NA,6,13.8,405,118,NA,NA,NA,NA,1182.606833,34.0740740740741,40.5,19.6666666666667
1,5,19,1,"HG18136","IMG-0102.JPG","DSC-0046.JPG",1,1,"GA031134-10E29",116,119,10,4,6,15.8,466,108,33,3.05,8.25,0.36969696969697,918.0533333,33.9055793991416,46.6,18
1,20,80,1,"HG18362","IMG-0103.JPG","DSC-0798.JPG",1,1,"NC8401-5",121,123,11,4,6,5.1,214,113,36,4.58,9,0.508888888888889,905.2076667,23.8317757009346,19.4545454545455,18.8333333333333
1,15,58,1,"HG18548","IMG-0104.JPG","DSC-0825.JPG",1,1,"GA09656-16LE21",120,123,10,4,6,16.6,479,119,112,8.35,28,0.298214285714286,1207.7915,34.6555323590814,47.9,19.8333333333333
1,7,25,1,"HG18253","IMG-0112.JPG","DSC-0546.JPG",1,0,"LA07040D-P01",117,121,11,4,6,18.2,562,109,67,8.26,16.75,0.493134328358209,797.0595,32.3843416370107,51.0909090909091,18.1666666666667
1,8,32,1,"HG18258","IMG-0113.JPG","DSC-0574.JPG",1,1,"LA07599E-21",117,121,10,4,6,10.4,302,98,47,4.67,11.75,0.397446808510638,896.958,34.4370860927152,30.2,16.3333333333333
